거래일자,거래시간,연료원,전력거래량(MWh)
2025-01-05,23,LNG,218.727614
2025-01-05,23,기타,17.88604
2025-01-05,23,신재생(기타),162.989192
2025-01-05,23,신재생(태양광),0.000336
2025-01-05,23,신재생(풍력),28.047045
2025-01-05,24,LNG,218.784888
2025-01-05,24,기타,21.808562
2025-01-05,24,신재생(기타),162.880808
2025-01-05,24,신재생(태양광),0.000312
2025-01-05,24,신재생(풍력),21.472514
2025-01-06,1,LNG,172.353034
2025-01-06,1,기타,27.690078
2025-01-06,1,신재생(기타),161.92332
2025-01-06,1,신재생(태양광),0.000304
2025-01-06,1,신재생(풍력),34.324998
2025-01-06,2,LNG,148.106658
2025-01-06,2,기타,25.339167
2025-01-06,2,신재생(기타),161.703472
2025-01-06,2,신재생(태양광),0.000288
2025-01-06,2,신재생(풍력),41.701415
2025-01-06,3,LNG,148.124256
2025-01-06,3,기타,36.927054
2025-01-06,3,신재생(기타),161.749032
2025-01-06,3,신재생(태양광),0.000352
2025-01-06,3,신재생(풍력),50.811167
2025-01-06,4,LNG,148.129772
2025-01-06,4,기타,37.686326
2025-01-06,4,신재생(기타),161.752056
2025-01-06,4,신재생(태양광),0.000328
2025-01-06,4,신재생(풍력),54.711921
2025-01-06,5,LNG,148.110438
2025-01-06,5,기타,48.793024
2025-01-06,5,신재생(기타),161.858304
2025-01-06,5,신재생(태양광),0.000344
2025-01-06,5,신재생(풍력),66.20159
2025-01-06,6,LNG,148.15003
2025-01-06,6,기타,71.589467
2025-01-06,6,신재생(기타),161.892624
2025-01-06,6,신재생(태양광),0.000336
2025-01-06,6,신재생(풍력),75.601196
2025-01-06,7,LNG,158.23773
2025-01-06,7,기타,111.583944
2025-01-06,7,신재생(기타),161.93576
2025-01-06,7,신재생(태양광),0.000328
2025-01-06,7,신재생(풍력),57.559738
2025-01-06,8,LNG,204.702428
2025-01-06,8,기타,106.746885
2025-01-06,8,신재생(기타),161.83372
2025-01-06,8,신재생(태양광),0.082833
2025-01-06,8,신재생(풍력),71.796679
2025-01-06,9,LNG,245.595742
2025-01-06,9,기타,112.042719
2025-01-06,9,신재생(기타),161.723216
2025-01-06,9,신재생(태양광),8.480167
2025-01-06,9,신재생(풍력),82.204739
2025-01-06,10,LNG,197.188488
2025-01-06,10,기타,130.762665
