일자,제어지역,누적 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-10-18,전남,73,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-19,전남,74,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-20,전남,75,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
2025-10-25,전남,76,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-10-26,전남,77,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-11-01,전남,78,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-11-02,전남,79,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-11-08,전남,80,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-11-09,전남,81,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-11-15,전남,82,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
2025-11-16,전남,83,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0
